(132027, 10) (33007, 10) (132027,) (33007,)
294:	learn: 0.3097600	total: 20.8s	remaining: 49.6s
295:	learn: 0.3097344	total: 20.8s	remaining: 49.5s
296:	learn: 0.3096991	total: 20.9s	remaining: 49.5s
297:	learn: 0.3096484	total: 21s	remaining: 49.4s
298:	learn: 0.3096334	total: 21s	remaining: 49.3s
299:	learn: 0.3096060	total: 21.1s	remaining: 49.2s
300:	learn: 0.3095683	total: 21.2s	remaining: 49.2s
301:	learn: 0.3095404	total: 21.2s	remaining: 49.1s
302:	learn: 0.3095024	total: 21.3s	remaining: 49s
303:	learn: 0.3094490	total: 21.4s	remaining: 48.9s
304:	learn: 0.3094104	total: 21.4s	remaining: 48.9s
305:	learn: 0.3093622	total: 21.5s	remaining: 48.8s
306:	learn: 0.3093446	total: 21.6s	remaining: 48.7s
307:	learn: 0.3093022	total: 21.6s	remaining: 48.6s
308:	learn: 0.3092878	total: 21.7s	remaining: 48.5s
309:	learn: 0.3092497	total: 21.8s	remaining: 48.4s
310:	learn: 0.3092092	total: 21.8s	remaining: 48.3s
311:	learn: 0.3091837	total: 21.9s	remaining: 48.3s
312:	learn: 0.3091499	total: 22s	remaining: 48.2s
313:	learn: 0.3091288	total: 22s	remaining: 48.1s
314:	learn: 0.3090862	total: 22.1s	remaining: 48.1s
315:	learn: 0.3090468	total: 22.2s	remaining: 48s
316:	learn: 0.3090159	total: 22.3s	remaining: 47.9s
317:	learn: 0.3089950	total: 22.3s	remaining: 47.9s
318:	learn: 0.3089601	total: 22.4s	remaining: 47.8s
319:	learn: 0.3089256	total: 22.5s	remaining: 47.7s
320:	learn: 0.3088848	total: 22.5s	remaining: 47.7s
321:	learn: 0.3088471	total: 22.6s	remaining: 47.6s
322:	learn: 0.3088307	total: 22.7s	remaining: 47.5s
323:	learn: 0.3088033	total: 22.7s	remaining: 47.5s
324:	learn: 0.3087746	total: 22.8s	remaining: 47.4s
325:	learn: 0.3087451	total: 22.9s	remaining: 47.3s
326:	learn: 0.3087257	total: 22.9s	remaining: 47.2s
327:	learn: 0.3087031	total: 23s	remaining: 47.1s
328:	learn: 0.3086669	total: 23.1s	remaining: 47.1s
329:	learn: 0.3086492	total: 23.1s	remaining: 47s
330:	learn: 0.3086017	total: 23.2s	remaining: 46.9s
331:	learn: 0.3085651	total: 23.3s	remaining: 46.8s
332:	learn: 0.3085382	total: 23.3s	remaining: 46.7s
333:	learn: 0.3085180	total: 23.4s	remaining: 46.6s
334:	learn: 0.3084931	total: 23.4s	remaining: 46.5s
335:	learn: 0.3084625	total: 23.5s	remaining: 46.4s
336:	learn: 0.3084376	total: 23.6s	remaining: 46.4s
337:	learn: 0.3084219	total: 23.6s	remaining: 46.3s
338:	learn: 0.3083942	total: 23.7s	remaining: 46.2s
339:	learn: 0.3083624	total: 23.8s	remaining: 46.1s
340:	learn: 0.3083297	total: 23.8s	remaining: 46.1s
341:	learn: 0.3083015	total: 23.9s	remaining: 46s
342:	learn: 0.3082662	total: 24s	remaining: 45.9s
343:	learn: 0.3082519	total: 24s	remaining: 45.8s
344:	learn: 0.3082316	total: 24.1s	remaining: 45.8s
345:	learn: 0.3081829	total: 24.2s	remaining: 45.7s
346:	learn: 0.3081610	total: 24.2s	remaining: 45.6s
347:	learn: 0.3081344	total: 24.3s	remaining: 45.6s
348:	learn: 0.3080990	total: 24.4s	remaining: 45.5s
349:	learn: 0.3080702	total: 24.4s	remaining: 45.4s
350:	learn: 0.3080465	total: 24.5s	remaining: 45.3s
351:	learn: 0.3080227	total: 24.6s	remaining: 45.3s
352:	learn: 0.3079772	total: 24.6s	remaining: 45.2s
353:	learn: 0.3079705	total: 24.7s	remaining: 45.1s
354:	learn: 0.3079454	total: 24.8s	remaining: 45s
355:	learn: 0.3079177	total: 24.8s	remaining: 44.9s
356:	learn: 0.3078838	total: 24.9s	remaining: 44.9s
357:	learn: 0.3078512	total: 25s	remaining: 44.8s
358:	learn: 0.3078362	total: 25.1s	remaining: 44.8s
359:	learn: 0.3078125	total: 25.1s	remaining: 44.7s
360:	learn: 0.3077872	total: 25.2s	remaining: 44.6s
361:	learn: 0.3077561	total: 25.3s	remaining: 44.5s
362:	learn: 0.3077250	total: 25.3s	remaining: 44.4s
363:	learn: 0.3077204	total: 25.4s	remaining: 44.3s
364:	learn: 0.3076842	total: 25.4s	remaining: 44.3s
365:	learn: 0.3076635	total: 25.5s	remaining: 44.2s
366:	learn: 0.3076363	total: 25.6s	remaining: 44.1s
367:	learn: 0.3076009	total: 25.6s	remaining: 44s
368:	learn: 0.3075722	total: 25.7s	remaining: 43.9s
369:	learn: 0.3075278	total: 25.8s	remaining: 43.9s
370:	learn: 0.3074808	total: 25.8s	remaining: 43.8s
371:	learn: 0.3074356	total: 25.9s	remaining: 43.7s
372:	learn: 0.3074040	total: 26s	remaining: 43.6s
373:	learn: 0.3073693	total: 26s	remaining: 43.6s
374:	learn: 0.3073513	total: 26.1s	remaining: 43.5s
375:	learn: 0.3073075	total: 26.2s	remaining: 43.4s
376:	learn: 0.3072882	total: 26.2s	remaining: 43.3s
377:	learn: 0.3072786	total: 26.3s	remaining: 43.3s
378:	learn: 0.3072506	total: 26.4s	remaining: 43.2s
379:	learn: 0.3072142	total: 26.4s	remaining: 43.2s
380:	learn: 0.3071955	total: 26.5s	remaining: 43.1s
381:	learn: 0.3071658	total: 26.6s	remaining: 43s
382:	learn: 0.3071113	total: 26.6s	remaining: 42.9s
383:	learn: 0.3070909	total: 26.7s	remaining: 42.8s
384:	learn: 0.3070538	total: 26.8s	remaining: 42.8s
385:	learn: 0.3070150	total: 26.8s	remaining: 42.7s
386:	learn: 0.3070032	total: 26.9s	remaining: 42.6s
387:	learn: 0.3069801	total: 27s	remaining: 42.5s
388:	learn: 0.3069559	total: 27s	remaining: 42.5s
389:	learn: 0.3069288	total: 27.1s	remaining: 42.4s
390:	learn: 0.3069070	total: 27.2s	remaining: 42.3s
391:	learn: 0.3068835	total: 27.2s	remaining: 42.3s
392:	learn: 0.3068653	total: 27.3s	remaining: 42.2s
393:	learn: 0.3068322	total: 27.4s	remaining: 42.1s
394:	learn: 0.3068077	total: 27.4s	remaining: 42s
395:	learn: 0.3067565	total: 27.5s	remaining: 42s
396:	learn: 0.3067164	total: 27.6s	remaining: 41.9s
397:	learn: 0.3067038	total: 27.6s	remaining: 41.8s
398:	learn: 0.3066806	total: 27.7s	remaining: 41.8s
399:	learn: 0.3066639	total: 27.8s	remaining: 41.7s
400:	learn: 0.3066337	total: 27.9s	remaining: 41.6s
401:	learn: 0.3065990	total: 27.9s	remaining: 41.5s
402:	learn: 0.3065684	total: 28s	remaining: 41.5s
403:	learn: 0.3065389	total: 28.1s	remaining: 41.4s
404:	learn: 0.3065037	total: 28.1s	remaining: 41.3s
405:	learn: 0.3064606	total: 28.2s	remaining: 41.2s
406:	learn: 0.3064342	total: 28.3s	remaining: 41.2s
407:	learn: 0.3063847	total: 28.3s	remaining: 41.1s
408:	learn: 0.3063696	total: 28.4s	remaining: 41.1s
409:	learn: 0.3063500	total: 28.5s	remaining: 41s
410:	learn: 0.3063100	total: 28.6s	remaining: 40.9s
411:	learn: 0.3062751	total: 28.6s	remaining: 40.9s
412:	learn: 0.3062494	total: 28.7s	remaining: 40.8s
413:	learn: 0.3062077	total: 28.8s	remaining: 40.7s
414:	learn: 0.3061799	total: 28.8s	remaining: 40.6s
415:	learn: 0.3061547	total: 28.9s	remaining: 40.6s
416:	learn: 0.3061423	total: 29s	remaining: 40.5s
417:	learn: 0.3061170	total: 29s	remaining: 40.4s
418:	learn: 0.3060931	total: 29.1s	remaining: 40.3s
419:	learn: 0.3060661	total: 29.1s	remaining: 40.3s
420:	learn: 0.3060366	total: 29.2s	remaining: 40.2s
421:	learn: 0.3060238	total: 29.3s	remaining: 40.1s
422:	learn: 0.3060020	total: 29.3s	remaining: 40s
423:	learn: 0.3059720	total: 29.4s	remaining: 40s
424:	learn: 0.3059445	total: 29.5s	remaining: 39.9s
425:	learn: 0.3059200	total: 29.6s	remaining: 39.8s
426:	learn: 0.3058945	total: 29.6s	remaining: 39.8s
427:	learn: 0.3058494	total: 29.7s	remaining: 39.7s
428:	learn: 0.3058037	total: 29.8s	remaining: 39.6s
429:	learn: 0.3057597	total: 29.8s	remaining: 39.6s
430:	learn: 0.3057479	total: 29.9s	remaining: 39.5s
431:	learn: 0.3057116	total: 30s	remaining: 39.5s
432:	learn: 0.3057066	total: 30.1s	remaining: 39.4s
433:	learn: 0.3056825	total: 30.1s	remaining: 39.3s
434:	learn: 0.3056550	total: 30.2s	remaining: 39.2s
435:	learn: 0.3056046	total: 30.3s	remaining: 39.2s
436:	learn: 0.3055651	total: 30.3s	remaining: 39.1s
437:	learn: 0.3055184	total: 30.4s	remaining: 39s
438:	learn: 0.3054684	total: 30.5s	remaining: 38.9s
439:	learn: 0.3054343	total: 30.6s	remaining: 38.9s
440:	learn: 0.3054014	total: 30.6s	remaining: 38.8s
441:	learn: 0.3053631	total: 30.7s	remaining: 38.8s
442:	learn: 0.3053361	total: 30.8s	remaining: 38.7s
443:	learn: 0.3053216	total: 30.8s	remaining: 38.6s
444:	learn: 0.3053130	total: 30.9s	remaining: 38.5s
445:	learn: 0.3053005	total: 31s	remaining: 38.5s
446:	learn: 0.3052635	total: 31s	remaining: 38.4s
447:	learn: 0.3052417	total: 31.1s	remaining: 38.3s
448:	learn: 0.3052219	total: 31.2s	remaining: 38.2s
449:	learn: 0.3051909	total: 31.2s	remaining: 38.2s
